state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_bill,matches_keyword,error
CA,community land trust,AB 2395,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2395,Bill Text - AB-2395 Child support: compromise of arrears program.,AB 2395,Amended,True,False,
CA,community land trust,AB 2396,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2396,Bill Text - AB-2396 Elections Code: interpretation.,AB 2396,Amended,True,False,
CA,community land trust,AB 2397,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2397,Bill Text - AB-2397 Planning and zoning.,AB 2397,Amended,True,False,
CA,community land trust,AB 2398,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2398,Bill Text - AB-2398 Practice of medicine: Physician Graduate License Act.,AB 2398,Amended,True,False,
CA,community land trust,AB 2399,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2399,Bill Text - AB-2399 Real property tax: welfare exemption: community land trusts.,AB 2399,Amended,True,True,
CA,community land trust,AB 2400,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2400,Bill Text - AB-2400 General plan: annual report: suite-style student housing quarters.,AB 2400,Amended,True,True,
CA,community land trust,AB 2401,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2401,Bill Text - AB-2401 Video imaging of parking violations.,AB 2401,Amended,True,False,
CA,community land trust,AB 2402,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2402,Bill Text - AB-2402 Health studio contracts: fee limits: multiservice health club studio.,AB 2402,Amended,True,False,
CA,community land trust,AB 2403,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2403,Bill Text - AB-2403 Personal Income Tax Law and Corporation Tax Law: credits: commercial production.,AB 2403,Amended,True,False,
CA,community land trust,AB 2404,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2404,"Bill Text - AB-2404 State advisory groups, boards, and committees: San Joaquin Valley.",AB 2404,Amended,True,False,
CA,community land trust,AB 2405,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2405,Bill Text - AB-2405 Criminal prosecution: statutes of limitation.,AB 2405,Amended,True,False,
CA,shared equity,AB 2395,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2395,Bill Text - AB-2395 Child support: compromise of arrears program.,AB 2395,Amended,True,False,
CA,shared equity,AB 2396,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2396,Bill Text - AB-2396 Elections Code: interpretation.,AB 2396,Amended,True,False,
CA,shared equity,AB 2397,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2397,Bill Text - AB-2397 Planning and zoning.,AB 2397,Amended,True,False,
CA,shared equity,AB 2398,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2398,Bill Text - AB-2398 Practice of medicine: Physician Graduate License Act.,AB 2398,Amended,True,False,
