state,keyword,candidate_title,candidate_url,extracted_title,identifier,status,is_real_bill,matches_keyword
CA,community land trust,AB 2300,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2300,Bill Text - AB-2300 Workforce development.,AB 2300,Introduced,True,False
CA,community land trust,AB 2301,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2301,Bill Text - AB-2301 Community colleges: Baccalaureate Degree in Nursing Pilot Program.,AB 2301,Introduced,True,False
CA,community land trust,AB 2302,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2302,Bill Text - AB-2302 Food safety: infant Formula.,AB 2302,Introduced,True,False
CA,community land trust,AB 2303,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2303,Bill Text - AB-2303 School accountability: data systems.,AB 2303,Introduced,True,False
CA,community land trust,AB 2304,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2304,Bill Text - AB-2304 Crimes: falsifying evidence.,AB 2304,Introduced,True,False
CA,community land trust,AB 2305,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2305,Bill Text - AB-2305 State Bar Act.,AB 2305,Introduced,True,False
CA,community land trust,AB 2306,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2306,Bill Text - AB-2306 State government.,AB 2306,Introduced,True,False
CA,community land trust,AB 2307,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2307,Bill Text - AB-2307 Transportation: traffic signal synchronization pilot program.,AB 2307,Introduced,True,False
CA,community land trust,AB 2308,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2308,Bill Text - AB-2308 Redevelopment: successor agency debt: City and County of San Francisco.,AB 2308,Introduced,True,False
CA,community land trust,AB 2309,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2309,Bill Text - AB-2309 CalFresh Protection Act.,AB 2309,Introduced,True,False
CA,community land trust,AB 2310,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2310,Bill Text - AB-2310 Illegal dumping.,AB 2310,Introduced,True,False
CA,community land trust,AB 2311,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2311,Bill Text - AB-2311 Health care districts: employment.,AB 2311,Introduced,True,False
CA,community land trust,AB 2312,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2312,Bill Text - AB-2312 State property: tidelands transfer: City of Martinez: capital improvements.,AB 2312,Introduced,True,False
CA,community land trust,AB 2313,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2313,Bill Text - AB-2313 Gas corporations: gas distribution service line replacements: alternatives.,AB 2313,Introduced,True,False
CA,community land trust,AB 2314,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2314,Bill Text - AB-2314 Childcare: regulations.,AB 2314,Introduced,True,False
CA,community land trust,AB 2315,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2315,Bill Text - AB-2315 Workforce development: findings and declarations.,AB 2315,Introduced,True,False
CA,community land trust,AB 2316,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2316,Bill Text - AB-2316 School facilities: Charter School Facilities Program: undue financial burden.,AB 2316,Introduced,True,False
CA,community land trust,AB 2317,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2317,Bill Text - AB-2317 Hospitals: seismic standards.,AB 2317,Introduced,True,False
CA,community land trust,AB 2318,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2318,Bill Text - AB-2318 Law enforcement: facilitating medical care.,AB 2318,Introduced,True,False
CA,community land trust,AB 2319,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2319,Bill Text - AB-2319 California motion picture tax credit.,AB 2319,Introduced,True,False
CA,community land trust,AB 2320,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2320,Bill Text - AB-2320 Multifamily Housing Program: Homekey: adaptive reuse.,AB 2320,Introduced,True,False
CA,community land trust,AB 2321,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2321,Bill Text - AB-2321 Bureau of Investigations.,AB 2321,Introduced,True,False
CA,community land trust,AB 2322,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2322,Bill Text - AB-2322 State Water Resources Control Board.,AB 2322,Introduced,True,False
CA,community land trust,AB 2323,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2323,Bill Text - AB-2323 Publication: newspapers of general circulation.,AB 2323,Introduced,True,False
CA,community land trust,AB 2324,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2324,Bill Text - AB-2324 Vocational education: Youth Caregivers Career Pathway program.,AB 2324,Introduced,True,False
CA,community land trust,AB 2325,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2325,Bill Text - AB-2325 Teachers: bilingual teacher credentialing pathways.,AB 2325,Introduced,True,False
CA,community land trust,AB 2326,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2326,Bill Text - AB-2326 Broomrape Program: extension.,AB 2326,Introduced,True,False
CA,community land trust,AB 2327,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2327,Bill Text - AB-2327 Medi-Cal: subcontractors: rates.,AB 2327,Introduced,True,False
CA,community land trust,AB 2328,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2328,Bill Text - AB-2328 School-based early mental health intervention and prevention services.,AB 2328,Introduced,True,False
CA,community land trust,AB 2329,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2329,Bill Text - AB-2329 Surplus residential property: City of South Pasadena.,AB 2329,Introduced,True,False
CA,community land trust,AB 2330,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2330,Bill Text - AB-2330 Public health: cold spas.,AB 2330,Introduced,True,False
