state,source_type,source_url,title,identifier,status,last_seen_date,summary_snippet,keywords_matched,confidence,notes,airtable_category,content_hash,session
CA,legislature site,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2387,Bill Text - AB-2387 California Dream for All Program: first-generation homebuyers.,AB 2387,Amended,2026-03-14,Bill Text - AB-2387 California Dream for All Program: first-generation homebuyers. skip to content home accessibility FAQ feedback sitemap login x Quick Search: Bill Number Bill Keyword Home Bill Information California Law Publications Other Resources My Subscriptions My Favorites Bill Information >,community land trust,Low,,Definition of CLT,5210d089701e73cca69fbcb8811e6f3c456ef5cf8e7e0b4aa9d2eb90face2470,
CA,legislature site,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2399,Bill Text - AB-2399 Real property tax: welfare exemption: community land trusts.,AB 2399,Amended,2026-03-14,Bill Text - AB-2399 Real property tax: welfare exemption: community land trusts. skip to content home accessibility FAQ feedback sitemap login x Quick Search: Bill Number Bill Keyword Home Bill Information California Law Publications Other Resources My Subscriptions My Favorites Bill Information >> ,community land trust,High,,Definition of CLT,4db775cce9d47bbe3869fa49d64193a0b57fac39b3c8486908ad4df37d931525,
CA,legislature site,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB2341,Bill Text - AB-2341 Surplus land: transit stops.,AB 2341,Amended,2026-03-14,Bill Text - AB-2341 Surplus land: transit stops. skip to content home accessibility FAQ feedback sitemap login x Quick Search: Bill Number Bill Keyword Home Bill Information California Law Publications Other Resources My Subscriptions My Favorites Bill Information >> Bill Search >> Text Bill Text PD,surplus land,Medium,,Surplus Land/Land Banking,c0901214c2fbab12dc57d9188e1593da80fc0ef2cc74117425eb733312727dfc,
NY,legislature api,https://legislation.nysenate.gov/api/3/bills/2025/S2324,Relates to the sale or transfer of certain real property by the state or public authorities,S2324,In Assembly Committee,2026-03-14,Relates to the sale or transfer of certain real property by the state or public authorities; requires mandatory review by the attorney general and comptroller of the sale of certain real property; requires notice to members of the legislature and county executives in districts and counties in which ,surplus land,Low,,Surplus Land/Land Banking,bd28760ecddba716667cfc070bb91c2c6a3804f5a49d291a139ecbf342711f30,2025
NY,legislature api,https://legislation.nysenate.gov/api/3/bills/2025/S384,Establishes a right of first refusal in the state for federal public land to be transferred,S384,Senate Floor Calendar,2026-03-14,Establishes a right of first refusal in the state for federal public land to be transferred to private parties; prohibits the recording of any deeds for lands that have been transferred out of federal ownership to private ownership without giving the state the right of first refusal.,surplus land,Low,,Surplus Land/Land Banking,b853e62fbf6803d86e3caaed9bb86d85b216b3a377b7677e9634ece4bdb62c55,2025
NY,legislature api,https://legislation.nysenate.gov/api/3/bills/2025/S5674,Establishes the New York State Social Housing Development Authority,S5674,In Senate Committee,2026-03-14,"Establishes the New York State social housing development authority as a public benefit corporation to increase the supply of permanently affordable housing in the state through the acquisition of land and renovation or rehabilitation of existing real property, and through the construction of new, p",surplus land,High,,Surplus Land/Land Banking,76536c07b876cef435761bee0f47b0739870edb8a56d75fd35db74d730b89a96,2025
NY,legislature api,https://legislation.nysenate.gov/api/3/bills/2024/A7017,Enacts the monarch preservation plan,A7017,In Senate Committee,2026-03-14,Enacts the monarch preservation plan requiring the department of environmental conservation to take feasible actions to conserve monarch butterflies and the unique habitats they depend upon for successful migration.,surplus land,Low,,Surplus Land/Land Banking,8186d34defecb0b17ed7b3ecbc6df0cb440d8837acc01cebd622f49be0a72a70,2024
NY,legislature api,https://legislation.nysenate.gov/api/3/bills/2024/A8204,"Enacts the ""pollinator promotion act"" to promote the health and viability of pollinators in the state",A8204,In Assembly Committee,2026-03-14,"Enacts the ""pollinator promotion act"" to authorize the commissioner of environmental conservation to promote the health and viability of pollinators in the state and to provide state assistance payments to municipalities to adopt and implement pollinator promotion plans; requires certain pollinator ",surplus land,Low,,Surplus Land/Land Banking,0b560bae34aaf891b45340425d77ff1aa2d5ee93b5a43b512ea1336a9a3a84cf,2024
NY,legislature api,https://legislation.nysenate.gov/api/3/bills/2024/A8250,Relates to permits and financial security for reclamation for salt mining beneath a lake,A8250,In Assembly Committee,2026-03-14,"Relates to permits and financial security for reclamation for salt mining beneath a lake; requires such permits to be subject to environmental quality review procedures; requires financial security to cover any damages directly or indirectly resulting from salt mining activities beneath a lake, incl",surplus land,Low,,Surplus Land/Land Banking,d4ad22e045e5961e3340df31a4c7c3b45ab89baa005dbe7ac1df36c5c7007c4d,2024
NY,legislature api,https://legislation.nysenate.gov/api/3/bills/2023/A7017,Enacts the monarch preservation plan,A7017,In Senate Committee,2026-03-14,Enacts the monarch preservation plan requiring the department of environmental conservation to take feasible actions to conserve monarch butterflies and the unique habitats they depend upon for successful migration.,surplus land,Low,,Surplus Land/Land Banking,8186d34defecb0b17ed7b3ecbc6df0cb440d8837acc01cebd622f49be0a72a70,2023
